Year,Month,Returns
1999,10,0.0711
1999,11,0.0281
1999,12,-0.0012
2000,1,-0.0248
2000,2,0.0394
2000,3,0.0142
2000,4,-0.0284
2000,5,0.0316
2000,6,0.0085
2000,7,0.0094
2000,8,-0.0108
2000,9,-0.0521
2000,10,-0.0077
2000,11,-0.0332
2000,12,0.0046
2001,1,-0.0214
2001,2,-0.0908
2001,3,0.0045
2001,4,0.0688
2001,5,-0.0239
2001,6,-0.0266
2001,7,-0.0205
2001,8,-0.1125
2001,9,0.0318
2001,10,0.0505
2001,11,0.0147
2001,12,-0.0030
2002,1,-0.0335
2002,2,0.0495
2002,3,-0.0351
2002,4,-0.0282
2002,5,-0.0592
2002,6,-0.1076
2002,7,0.0114
2002,8,-0.0476
2002,9,-0.0137
2002,10,0.0663
2002,11,-0.0104
2002,12,-0.0022
2003,1,-0.0641
2003,2,0.0131
2003,3,0.0529
2003,4,0.0531
2003,5,0.0570
2003,6,0.0060
2003,7,-0.0017
2003,8,0.0316
2003,9,0.0203
2003,10,0.0121
2003,11,0.0306
2003,12,0.0493
2004,1,0.0109
2004,2,-0.0157
2004,3,0.0097
2004,4,-0.0256
2004,5,0.0286
2004,6,-0.0224
2004,7,-0.0139
2004,8,0.0278
2004,9,0.0010
2004,10,0.0477
2004,11,0.0273
2004,12,-0.0135
2005,1,0.0168
2005,2,-0.0026
2005,3,-0.0241
2005,4,0.0134
2005,5,0.0218
2005,6,0.0181
2005,7,0.0031
2005,8,0.0028
2005,9,-0.0262
2005,10,0.0396
2005,11,0.0214
2005,12,0.0147
2006,1,-0.0002
2006,2,0.0149
2006,3,0.0080
2006,4,-0.0079
2006,5,-0.0271
2006,6,0.0072
2006,7,0.0229
2006,8,0.0253
2006,9,0.0362
2006,10,0.0200
2006,11,0.0215
2006,12,0.0069
2007,1,0.0160
2007,2,-0.0247
2007,3,0.0418
2007,4,0.0339
2007,5,0.0034
2007,6,0.0057
2007,7,-0.0420
2007,8,0.0307
2007,9,0.0299
2007,10,-0.0481
2007,11,0.0124
2007,12,-0.0664
2008,1,-0.0156
2008,2,-0.0263
2008,3,0.0424
2008,4,0.0256
2008,5,-0.0425
2008,6,-0.0608
2008,7,0.0211
2008,8,-0.0485
2008,9,-0.2019
2008,10,-0.0861
2008,11,-0.0035
2008,12,-0.0110
2009,1,-0.0670
2009,2,-0.0569
2009,3,0.1232
2009,4,0.0666
2009,5,0.0287
2009,6,0.0128
2009,7,0.0812
2009,8,0.0365
2009,9,0.0240
2009,10,0.0209
2009,11,0.0223
2009,12,0.0136
2010,1,-0.0290
2010,2,0.0594
2010,3,0.0409
2010,4,-0.0588
2010,5,-0.0354
2010,6,-0.0016
2010,7,0.0086
2010,8,0.0337
2010,9,0.0458
2010,10,0.0249
2010,11,0.0371
2010,12,0.0346
2011,1,0.0315
2011,2,-0.0111
2011,3,0.0222
2011,4,0.0066
2011,5,-0.0366
2011,6,0.0310
2011,7,-0.1040
2011,8,-0.0079
2011,9,0.0302
2011,10,0.0177
2011,11,0.0155
2011,12,0.0478
2012,1,0.0416
2012,2,0.0288
2012,3,-0.0004
2012,4,-0.0309
2012,5,-0.0115
2012,6,0.0292
2012,7,0.0339
2012,8,0.0302
2012,9,-0.0022
2012,10,-0.0284
2012,11,0.0218
2012,12,0.0427
2013,1,0.0233
2013,2,0.0272
2013,3,0.0145
2013,4,0.0457
2013,5,-0.0112
2013,6,0.0325
2013,7,0.0025
2013,8,0.0119
2013,9,0.0212
2013,10,0.0386
2013,11,0.0152
2013,12,0.0097
2014,1,-0.0013
2014,2,0.0272
2014,3,0.0020
2014,4,0.0153
2014,5,0.0320
2014,6,0.0150
2014,7,-0.0043
2014,8,0.0178
2014,9,-0.0265
2014,10,0.0571
2014,11,0.0063
2014,12,-0.0111
2015,1,0.0283
2015,2,0.0006
2015,3,0.0088
2015,4,0.0098
2015,5,-0.0044
2015,6,-0.0008
2015,7,-0.0242
2015,8,-0.0451
2015,9,0.0432
2015,10,0.0293
2015,11,-0.0110
2015,12,-0.0642
2016,1,-0.0055
2016,2,0.0636
2016,3,0.0283
2016,4,-0.0030
2016,5,0.0107
2016,6,0.0330
2016,7,0.0120
2016,8,-0.0044
2016,9,-0.0051
2016,10,0.0120
2016,11,0.0395
2016,12,0.0144
2017,1,0.0258
2017,2,0.0175
2017,3,-0.0015
2017,4,0.0169
2017,5,0.0178
2017,6,0.0099
2017,7,0.0025
2017,8,0.0165
2017,9,0.0273
2017,10,0.0159
2017,11,0.0288
2017,12,0.0486
2018,1,-0.0289
2018,2,0.0006
2018,3,-0.0166
2018,4,0.0196
2018,5,0.0211
2018,6,0.0158
2018,7,0.0245
2018,8,0.0168
2018,9,-0.0385
2018,10,-0.0208
2018,11,-0.0556
2018,12,0.0174
2019,1,0.0583
2019,2,0.0195
2019,3,0.0372
2019,4,-0.0153
2019,5,0.0140
2019,6,0.0383
2019,7,-0.0313
2019,8,0.0309
2019,9,0.0001
2019,10,0.0443
2019,11,0.0247
2019,12,0.0335
2020,1,0.0012
2020,2,-0.1892
2020,3,0.0432
2020,4,0.0589
2020,5,0.0651
2020,6,0.0348
2020,7,0.0589
2020,8,-0.0063
2020,9,0.0173
2020,10,0.0395
2020,11,0.0426
2020,12,0.0280
2021,1,0.0249
2021,2,0.0082
2021,3,0.0602
2021,4,0.0076
2021,5,0.0181
2021,6,0.0307
2021,7,0.0219
2021,8,-0.0008
2021,9,0.0045
2021,10,0.0474
2021,11,0.0027
2021,12,-0.0205
2022,1,-0.0290
2022,2,-0.0089
2022,3,0.0012
2022,4,-0.0787
2022,5,-0.0337
2022,6,0.0046
2022,7,0.0645
2022,8,-0.0728
2022,9,-0.0309
2022,10,0.0119
